source,target,dependency_kind
A_2_zero,A_1_Nat,n0
C_0_1,A_1_Nat,n0
A_3_succ,A_1_Nat,n0
C_1_#BD,A_4_n,n0
C_1_#BD,C_0_1,n1
C_1_#BD,C_0_1,n2
C_2_1,B_1,n0
E_1,C_2_1,n1
E_1,A_2_zero,pair0_A
E_1,C_0_1,pair0_C
E_1,A_3_succ,pair1_A
E_1,C_1_#BD,pair1_C
A_6_refl,A_5_Eq,n0
B_2_8,A_8_u_1,n0
C_3_2,B_2_8,n0
C_5_5_2,A_5_Eq,n0
C_5_5_2,B_2_8,n1
C_7_5_6,C_5_5_2,n0
C_7_5_6,C_6_1,n1
C_8_7_4,C_7_5_6,n0
C_8_7_4,C_4_0,n1
C_9_8_4,C_8_7_4,n0
C_9_8_4,C_4_0,n1
C_10_#BD,A_9_a,n0
C_10_#BD,C_4_0,n1
C_10_#BD,C_9_8_4,n2
C_11_#BI,A_7_α,n0
C_11_#BI,C_3_2,n1
C_11_#BI,C_10_#BD,n2
A_10__@,A_9_a,n0
A_11_Init,A_10__@,n0
A_12_Prelude,A_11_Init,n0
A_13__hyg,A_12_Prelude,n0
A_14_191,A_13__hyg,n0
A_15_193,A_13__hyg,n0
C_13_#BD,A_15_193,n0
C_13_#BD,C_6_1,n1
C_13_#BD,C_12_0,n2
C_14_#BD,A_14_191,n0
C_14_#BD,C_4_0,n1
C_14_#BD,C_13_#BD,n2
C_15_#BI,A_7_α,n0
C_15_#BI,C_3_2,n1
C_15_#BI,C_14_#BD,n2
E_5,C_15_#BI,n1
E_5,A_6_refl,pair0_A
E_5,C_11_#BI,pair0_C
E_5,A_8_u_1,n_overline0
A_17_mk,A_16_PSigma,n0
B_3_18,A_18_u,n0
C_16_3,B_3_18,n0
A_20_Core,A_11_Init,n0
A_21__hyg,A_20_Core,n0
A_22_2196,A_21__hyg,n0
B_4_23,A_23_v,n0
C_17_4,B_4_23,n0
C_18_#BD,A_22_2196,n0
C_18_#BD,C_4_0,n1
C_18_#BD,C_17_4,n2
C_19_6_4,C_6_1,n0
C_19_6_4,C_4_0,n1
C_20_16_3_4,A_16_PSigma,n0
C_20_16_3_4,B_3_18,n1
C_20_16_3_4,B_4_23,n2
C_22_20_21,C_20_16_3_4,n0
C_22_20_21,C_21_3,n1
C_24_22_23,C_22_20_21,n0
C_24_22_23,C_23_2,n1
C_25_#BD,A_25_snd,n0
C_25_#BD,C_19_6_4,n1
C_25_#BD,C_24_22_23,n2
C_26_#BD,A_24_fst,n0
C_26_#BD,C_6_1,n1
C_26_#BD,C_25_#BD,n2
C_27_#BI,A_19_β,n0
C_27_#BI,C_18_#BD,n1
C_27_#BI,C_26_#BD,n2
C_28_#BI,A_7_α,n0
C_28_#BI,C_16_3,n1
C_28_#BI,C_27_#BI,n2
B_5_1_3,B_1,n0
B_5_1_3,B_3_18,n1
B_6_5_4,B_5_1_3,n0
B_6_5_4,B_4_23,n1
C_29_6,B_6_5_4,n0
C_30_#BD,A_19_β,n0
C_30_#BD,C_18_#BD,n1
C_30_#BD,C_29_6,n2
C_31_#BI,A_7_α,n0
C_31_#BI,C_16_3,n1
C_31_#BI,C_30_#BD,n2
E_16,C_31_#BI,n1
E_16,A_17_mk,pair0_A
E_16,C_28_#BI,pair0_C
E_16,A_18_u,n_overline0
E_16,A_23_v,n_overline1
A_27_intro,A_26_Acc,n0
A_32_WF,A_11_Init,n0
A_33__hyg,A_32_WF,n0
A_34_17,A_33__hyg,n0
C_32_23_4,C_23_2,n0
C_32_23_4,C_4_0,n1
C_33_32_6,C_32_23_4,n0
C_33_32_6,C_6_1,n1
C_34_26_3,A_26_Acc,n0
C_34_26_3,B_3_18,n1
C_36_34_35,C_34_26_3,n0
C_36_34_35,C_35_4,n1
C_37_36_21,C_36_34_35,n0
C_37_36_21,C_21_3,n1
C_38_37_6,C_37_36_21,n0
C_38_37_6,C_6_1,n1
C_39_#BD,A_34_17,n0
C_39_#BD,C_33_32_6,n1
C_39_#BD,C_38_37_6,n2
C_40_#BD,A_31_y,n0
C_40_#BD,C_23_2,n1
C_40_#BD,C_39_#BD,n2
C_41_34_21,C_34_26_3,n0
C_41_34_21,C_21_3,n1
C_42_41_23,C_41_34_21,n0
C_42_41_23,C_23_2,n1
C_43_42_6,C_42_41_23,n0
C_43_42_6,C_6_1,n1
C_44_#BD,A_30_h,n0
C_44_#BD,C_40_#BD,n1
C_44_#BD,C_43_42_6,n2
C_45_#BD,A_29_x,n0
C_45_#BD,C_6_1,n1
C_45_#BD,C_44_#BD,n2
C_46_#BI,A_28_r,n0
C_46_#BI,C_14_#BD,n1
C_46_#BI,C_45_#BD,n2
C_47_#BI,A_7_α,n0
C_47_#BI,C_16_3,n1
C_47_#BI,C_46_#BI,n2
C_48_#BD,A_28_r,n0
C_48_#BD,C_14_#BD,n1
C_48_#BD,C_13_#BD,n2
C_49_#BI,A_7_α,n0
C_49_#BI,C_16_3,n1
C_49_#BI,C_48_#BD,n2
E_26,C_49_#BI,n1
E_26,A_27_intro,pair0_A
E_26,C_47_#BI,pair0_C
E_26,A_18_u,n_overline0
A_36_intro,A_35_WellFounded,n0
C_50_34_23,C_34_26_3,n0
C_50_34_23,C_23_2,n1
C_51_50_6,C_50_34_23,n0
C_51_50_6,C_6_1,n1
C_52_51_4,C_51_50_6,n0
C_52_51_4,C_4_0,n1
C_53_#BD,A_9_a,n0
C_53_#BD,C_6_1,n1
C_53_#BD,C_52_51_4,n2
C_54_35_3,A_35_WellFounded,n0
C_54_35_3,B_3_18,n1
C_55_54_23,C_54_35_3,n0
C_55_54_23,C_23_2,n1
C_56_55_6,C_55_54_23,n0
C_56_55_6,C_6_1,n1
C_57_#BD,A_30_h,n0
C_57_#BD,C_53_#BD,n1
C_57_#BD,C_56_55_6,n2
C_58_#BI,A_28_r,n0
C_58_#BI,C_14_#BD,n1
C_58_#BI,C_57_#BD,n2
C_59_#BI,A_7_α,n0
C_59_#BI,C_16_3,n1
C_59_#BI,C_58_#BI,n2
C_60_#BD,A_28_r,n0
C_60_#BD,C_14_#BD,n1
C_60_#BD,C_12_0,n2
C_61_#BI,A_7_α,n0
C_61_#BI,C_16_3,n1
C_61_#BI,C_60_#BD,n2
E_35,C_61_#BI,n1
E_35,A_36_intro,pair0_A
E_35,C_59_#BI,pair0_C
E_35,A_18_u,n_overline0
A_37_fixF,A_35_WellFounded,n0
A_39_400,A_33__hyg,n0
C_62_#BD,A_39_400,n0
C_62_#BD,C_6_1,n1
C_62_#BD,C_17_4,n2
A_41_406,A_33__hyg,n0
A_42_412,A_33__hyg,n0
C_63_21_4,C_21_3,n0
C_63_21_4,C_4_0,n1
C_64_63_6,C_63_21_4,n0
C_64_63_6,C_6_1,n1
C_65_21_6,C_21_3,n0
C_65_21_6,C_6_1,n1
C_66_#BD,A_42_412,n0
C_66_#BD,C_64_63_6,n1
C_66_#BD,C_65_21_6,n2
C_67_#BD,A_31_y,n0
C_67_#BD,C_21_3,n1
C_67_#BD,C_66_#BD,n2
C_68_23_6,C_23_2,n0
C_68_23_6,C_6_1,n1
C_69_#BD,A_41_406,n0
C_69_#BD,C_67_#BD,n1
C_69_#BD,C_68_23_6,n2
C_70_#BD,A_29_x,n0
C_70_#BD,C_23_2,n1
C_70_#BD,C_69_#BD,n2
C_71_37_4,C_37_36_21,n0
C_71_37_4,C_4_0,n1
C_72_#BD,A_9_a,n0
C_72_#BD,C_71_37_4,n1
C_72_#BD,C_65_21_6,n2
C_73_#BD,A_29_x,n0
C_73_#BD,C_21_3,n1
C_73_#BD,C_72_#BD,n2
C_74_#BD,A_40_F,n0
C_74_#BD,C_70_#BD,n1
C_74_#BD,C_73_#BD,n2
C_75_#BI,A_38_C,n0
C_75_#BI,C_62_#BD,n1
C_75_#BI,C_74_#BD,n2
C_76_#BI,A_28_r,n0
C_76_#BI,C_14_#BD,n1
C_76_#BI,C_75_#BI,n2
C_77_#BI,A_7_α,n0
C_77_#BI,C_16_3,n1
C_77_#BI,C_76_#BI,n2
A_43_rec,A_26_Acc,n0
C_78_43_4_3,A_43_rec,n0
C_78_43_4_3,B_4_23,n1
C_78_43_4_3,B_3_18,n2
C_80_78_79,C_78_43_4_3,n0
C_80_78_79,C_79_5,n1
C_81_80_35,C_80_78_79,n0
C_81_80_35,C_35_4,n1
C_83_34_82,C_34_26_3,n0
C_83_34_82,C_82_6,n1
C_84_83_79,C_83_34_82,n0
C_84_83_79,C_79_5,n1
C_85_84_4,C_84_83_79,n0
C_85_84_4,C_4_0,n1
C_86_79_6,C_79_5,n0
C_86_79_6,C_6_1,n1
C_87_#BD,A_9_a,n0
C_87_#BD,C_85_84_4,n1
C_87_#BD,C_86_79_6,n2
C_88_#BD,A_29_x,n0
C_88_#BD,C_79_5,n1
C_88_#BD,C_87_#BD,n2
C_89_81_88,C_81_80_35,n0
C_89_81_88,C_88_#BD,n1
A_45__@,A_30_h,n0
A_46_Init,A_45__@,n0
A_47_WF,A_46_Init,n0
A_48__hyg,A_47_WF,n0
A_49_431,A_48__hyg,n0
C_90_82_4,C_82_6,n0
C_90_82_4,C_4_0,n1
C_91_90_6,C_90_82_4,n0
C_91_90_6,C_6_1,n1
C_93_34_92,C_34_26_3,n0
C_93_34_92,C_92_8,n1
C_95_93_94,C_93_34_92,n0
C_95_93_94,C_94_7,n1
C_96_95_6,C_95_93_94,n0
C_96_95_6,C_6_1,n1
C_97_#BD,A_34_17,n0
C_97_#BD,C_91_90_6,n1
C_97_#BD,C_96_95_6,n2
C_98_#BD,A_31_y,n0
C_98_#BD,C_82_6,n1
C_98_#BD,C_97_#BD,n2
C_99_94_4,C_94_7,n0
C_99_94_4,C_4_0,n1
C_100_99_23,C_99_94_4,n0
C_100_99_23,C_23_2,n1
C_101_94_6,C_94_7,n0
C_101_94_6,C_6_1,n1
C_102_#BD,A_34_17,n0
C_102_#BD,C_100_99_23,n1
C_102_#BD,C_101_94_6,n2
C_103_#BD,A_31_y,n0
C_103_#BD,C_94_7,n1
C_103_#BD,C_102_#BD,n2
C_104_79_23,C_79_5,n0
C_104_79_23,C_23_2,n1
C_105_104_4,C_104_79_23,n0
C_105_104_4,C_4_0,n1
C_106_#BD,A_50_ih,n0
C_106_#BD,C_103_#BD,n1
C_106_#BD,C_105_104_4,n2
C_107_#BD,A_49_431,n0
C_107_#BD,C_98_#BD,n1
C_107_#BD,C_106_#BD,n2
C_108_#BD,A_44_x₁,n0
C_108_#BD,C_79_5,n1
C_108_#BD,C_107_#BD,n2
C_109_89_108,C_89_81_88,n0
C_109_89_108,C_108_#BD,n1
C_110_109_6,C_109_89_108,n0
C_110_109_6,C_6_1,n1
C_111_110_4,C_110_109_6,n0
C_111_110_4,C_4_0,n1
C_112_#BD,A_9_a,n0
C_112_#BD,C_71_37_4,n1
C_112_#BD,C_111_110_4,n2
C_113_#BD,A_29_x,n0
C_113_#BD,C_21_3,n1
C_113_#BD,C_112_#BD,n2
C_114_#BD,A_40_F,n0
C_114_#BD,C_70_#BD,n1
C_114_#BD,C_113_#BD,n2
C_115_#BI,A_38_C,n0
C_115_#BI,C_62_#BD,n1
C_115_#BI,C_114_#BD,n2
C_116_#BI,A_28_r,n0
C_116_#BI,C_14_#BD,n1
C_116_#BI,C_115_#BI,n2
C_117_#BI,A_7_α,n0
C_117_#BI,C_16_3,n1
C_117_#BI,C_116_#BI,n2
D_37,C_77_#BI,n0
D_37,C_117_#BI,n1
D_37,A_18_u,n2
D_37,A_23_v,n3
A_51_apply,A_35_WellFounded,n0
C_118_54_6,C_54_35_3,n0
C_118_54_6,C_6_1,n1
C_119_118_4,C_118_54_6,n0
C_119_118_4,C_4_0,n1
C_120_42_4,C_42_41_23,n0
C_120_42_4,C_4_0,n1
C_121_#BD,A_9_a,n0
C_121_#BD,C_23_2,n1
C_121_#BD,C_120_42_4,n2
C_122_#BD,A_52_wf,n0
C_122_#BD,C_119_118_4,n1
C_122_#BD,C_121_#BD,n2
C_123_#BI,A_28_r,n0
C_123_#BI,C_14_#BD,n1
C_123_#BI,C_122_#BD,n2
C_124_#BI,A_7_α,n0
C_124_#BI,C_16_3,n1
C_124_#BI,C_123_#BI,n2
A_53_rec,A_35_WellFounded,n0
C_125_53_0_3,A_53_rec,n0
C_125_53_0_3,B_3_18,n2
C_126_125_21,C_125_53_0_3,n0
C_126_125_21,C_21_3,n1
C_127_126_23,C_126_125_21,n0
C_127_126_23,C_23_2,n1
A_54__@,A_29_x,n0
A_55_Init,A_54__@,n0
A_56_WF,A_55_Init,n0
A_57__hyg,A_56_WF,n0
A_58_234,A_57__hyg,n0
C_128_54_21,C_54_35_3,n0
C_128_54_21,C_21_3,n1
C_129_128_23,C_128_54_21,n0
C_129_128_23,C_23_2,n1
A_59_233,A_57__hyg,n0
C_130_34_79,C_34_26_3,n0
C_130_34_79,C_79_5,n1
C_131_130_35,C_130_34_79,n0
C_131_130_35,C_35_4,n1
C_132_131_4,C_131_130_35,n0
C_132_131_4,C_4_0,n1
C_133_#BD,A_59_233,n0
C_133_#BD,C_35_4,n1
C_133_#BD,C_132_131_4,n2
C_134_#BD,A_58_234,n0
C_134_#BD,C_129_128_23,n1
C_134_#BD,C_133_#BD,n2
C_135_127_134,C_127_126_23,n0
C_135_127_134,C_134_#BD,n1
C_136_#BD,A_9_a,n0
C_136_#BD,C_21_3,n1
C_136_#BD,C_71_37_4,n2
C_137_#BD,A_60_p,n0
C_137_#BD,C_136_#BD,n1
C_137_#BD,C_4_0,n2
C_138_135_137,C_135_127_134,n0
C_138_135_137,C_137_#BD,n1
C_139_138_6,C_138_135_137,n0
C_139_138_6,C_6_1,n1
C_140_139_4,C_139_138_6,n0
C_140_139_4,C_4_0,n1
C_141_#BD,A_9_a,n0
C_141_#BD,C_23_2,n1
C_141_#BD,C_140_139_4,n2
C_142_#BD,A_52_wf,n0
C_142_#BD,C_119_118_4,n1
C_142_#BD,C_141_#BD,n2
C_143_#BI,A_28_r,n0
C_143_#BI,C_14_#BD,n1
C_143_#BI,C_142_#BD,n2
C_144_#BI,A_7_α,n0
C_144_#BI,C_16_3,n1
C_144_#BI,C_143_#BI,n2
D_51,C_124_#BI,n0
D_51,C_144_#BI,n1
D_51,A_18_u,n2
A_61_fix,A_35_WellFounded,n0
A_62_527,A_33__hyg,n0
A_63_529,A_33__hyg,n0
C_145_#BD,A_63_529,n0
C_145_#BD,C_23_2,n1
C_145_#BD,C_12_0,n2
C_146_#BD,A_62_527,n0
C_146_#BD,C_6_1,n1
C_146_#BD,C_145_#BD,n2
C_147_55_4,C_55_54_23,n0
C_147_55_4,C_4_0,n1
A_65_537,A_33__hyg,n0
A_66_543,A_33__hyg,n0
C_148_#BD,A_66_543,n0
C_148_#BD,C_64_63_6,n1
C_148_#BD,C_86_79_6,n2
C_149_#BD,A_31_y,n0
C_149_#BD,C_35_4,n1
C_149_#BD,C_148_#BD,n2
C_150_35_6,C_35_4,n0
C_150_35_6,C_6_1,n1
C_151_#BD,A_65_537,n0
C_151_#BD,C_149_#BD,n1
C_151_#BD,C_150_35_6,n2
C_152_#BD,A_29_x,n0
C_152_#BD,C_21_3,n1
C_152_#BD,C_151_#BD,n2
C_153_35_4,C_35_4,n0
C_153_35_4,C_4_0,n1
C_154_#BD,A_29_x,n0
C_154_#BD,C_35_4,n1
C_154_#BD,C_153_35_4,n2
C_155_#BD,A_40_F,n0
C_155_#BD,C_152_#BD,n1
C_155_#BD,C_154_#BD,n2
C_156_#BD,A_64_hwf,n0
C_156_#BD,C_147_55_4,n1
C_156_#BD,C_155_#BD,n2
C_157_#BI,A_28_r,n0
C_157_#BI,C_146_#BD,n1
C_157_#BI,C_156_#BD,n2
C_158_#BI,A_38_C,n0
C_158_#BI,C_18_#BD,n1
C_158_#BI,C_157_#BI,n2
C_159_#BI,A_7_α,n0
C_159_#BI,C_16_3,n1
C_159_#BI,C_158_#BI,n2
C_160_37_3_4,A_37_fixF,n0
C_160_37_3_4,B_3_18,n1
C_160_37_3_4,B_4_23,n2
C_161_160_79,C_160_37_3_4,n0
C_161_160_79,C_79_5,n1
C_162_161_21,C_161_160_79,n0
C_162_161_21,C_21_3,n1
C_163_162_35,C_162_161_21,n0
C_163_162_35,C_35_4,n1
C_164_163_6,C_163_162_35,n0
C_164_163_6,C_6_1,n1
C_165_164_4,C_164_163_6,n0
C_165_164_4,C_4_0,n1
C_166_51_3,A_51_apply,n0
C_166_51_3,B_3_18,n1
C_167_166_79,C_166_51_3,n0
C_167_166_79,C_79_5,n1
C_168_167_21,C_167_166_79,n0
C_168_167_21,C_21_3,n1
C_169_168_23,C_168_167_21,n0
C_169_168_23,C_23_2,n1
C_170_169_4,C_169_168_23,n0
C_170_169_4,C_4_0,n1
C_171_165_170,C_165_164_4,n0
C_171_165_170,C_170_169_4,n1
C_172_#BD,A_29_x,n0
C_172_#BD,C_35_4,n1
C_172_#BD,C_171_165_170,n2
C_173_#BD,A_40_F,n0
C_173_#BD,C_152_#BD,n1
C_173_#BD,C_172_#BD,n2
C_174_#BD,A_64_hwf,n0
C_174_#BD,C_147_55_4,n1
C_174_#BD,C_173_#BD,n2
C_175_#BI,A_28_r,n0
C_175_#BI,C_146_#BD,n1
C_175_#BI,C_174_#BD,n2
C_176_#BI,A_38_C,n0
C_176_#BI,C_18_#BD,n1
C_176_#BI,C_175_#BI,n2
C_177_#BI,A_7_α,n0
C_177_#BI,C_16_3,n1
C_177_#BI,C_176_#BI,n2
D_61,C_159_#BI,n0
D_61,C_177_#BI,n1
D_61,A_18_u,n2
D_61,A_23_v,n3
A_68_mk,A_67_WellFoundedRelation,n0
C_178_67_3,A_67_WellFoundedRelation,n0
C_178_67_3,B_3_18,n1
C_179_178_23,C_178_67_3,n0
C_179_178_23,C_23_2,n1
C_180_#BD,A_52_wf,n0
C_180_#BD,C_119_118_4,n1
C_180_#BD,C_179_178_23,n2
C_181_#BD,A_69_rel,n0
C_181_#BD,C_14_#BD,n1
C_181_#BD,C_180_#BD,n2
C_182_#BI,A_7_α,n0
C_182_#BI,C_16_3,n1
C_182_#BI,C_181_#BD,n2
C_183_5,B_5_1_3,n0
C_184_#BD,A_7_α,n0
C_184_#BD,C_16_3,n1
C_184_#BD,C_183_5,n2
E_67,C_184_#BD,n1
E_67,A_68_mk,pair0_A
E_67,C_182_#BI,pair0_C
E_67,A_18_u,n_overline0
A_72_10983,A_21__hyg,n0
C_185_#BD,A_72_10983,n0
C_185_#BD,C_23_2,n1
C_185_#BD,C_23_2,n2
A_73_10986,A_21__hyg,n0
A_74_10988,A_21__hyg,n0
C_186_#BD,A_74_10988,n0
C_186_#BD,C_35_4,n1
C_186_#BD,C_12_0,n2
C_187_#BD,A_73_10986,n0
C_187_#BD,C_21_3,n1
C_187_#BD,C_186_#BD,n2
C_188_#BD,A_71_f,n0
C_188_#BD,C_185_#BD,n1
C_188_#BD,C_187_#BD,n2
C_189_#BD,A_28_r,n0
C_189_#BD,C_14_#BD,n1
C_189_#BD,C_188_#BD,n2
C_190_#BI,A_19_β,n0
C_190_#BI,C_17_4,n1
C_190_#BI,C_189_#BD,n2
C_191_#BI,A_7_α,n0
C_191_#BI,C_16_3,n1
C_191_#BI,C_190_#BI,n2
C_192_21_68,C_21_3,n0
C_192_21_68,C_68_23_6,n1
C_193_192_32,C_192_21_68,n0
C_193_192_32,C_32_23_4,n1
C_194_#BD,A_76_a₂,n0
C_194_#BD,C_35_4,n1
C_194_#BD,C_193_192_32,n2
C_195_#BD,A_75_a₁,n0
C_195_#BD,C_21_3,n1
C_195_#BD,C_194_#BD,n2
C_196_#BD,A_71_f,n0
C_196_#BD,C_185_#BD,n1
C_196_#BD,C_195_#BD,n2
C_197_#BD,A_28_r,n0
C_197_#BD,C_14_#BD,n1
C_197_#BD,C_196_#BD,n2
C_198_#BI,A_19_β,n0
C_198_#BI,C_17_4,n1
C_198_#BI,C_197_#BD,n2
C_199_#BI,A_7_α,n0
C_199_#BI,C_16_3,n1
C_199_#BI,C_198_#BI,n2
D_70,C_191_#BI,n0
D_70,C_199_#BI,n1
D_70,A_18_u,n2
D_70,A_23_v,n3
A_77_rel,A_67_WellFoundedRelation,n0
C_200_178_4,C_178_67_3,n0
C_200_178_4,C_4_0,n1
C_201_#BC,A_78_self,n0
C_201_#BC,C_200_178_4,n1
C_201_#BC,C_146_#BD,n2
C_202_#BI,A_7_α,n0
C_202_#BI,C_16_3,n1
C_202_#BI,C_201_#BC,n2
G_203_0,A_67_WellFoundedRelation,n0
G_203_0,C_4_0,n1
C_204_#BC,A_78_self,n0
C_204_#BC,C_200_178_4,n1
C_205_#BD,A_7_α,n0
C_205_#BD,C_16_3,n1
C_205_#BD,C_204_#BC,n2
D_77,C_202_#BI,n0
D_77,C_205_#BD,n1
D_77,A_18_u,n2
A_79_ndrec,A_5_Eq,n0
B_7_80,A_80_u2,n0
C_206_7,B_7_80,n0
A_82_209,A_13__hyg,n0
B_8_83,A_83_u1,n0
C_207_8,B_8_83,n0
C_208_#BD,A_82_209,n0
C_208_#BD,C_6_1,n1
C_208_#BD,C_207_8,n2
C_209_4_6,C_4_0,n0
C_209_4_6,C_6_1,n1
